,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-07-07,08:49:39,OLYLO Direct,"$2,380.00",FBA,In Stock.,13,4.4,7,7→
2,2022-07-07,15:25:03,OLYLO Direct,"$2,799.00",FBA,20,14,4.1,48,78→48→48→
3,2022-07-07,15:25:21,AchhaGo US,"$2,199.00",FBA,In Stock.,6,4.8,78,78→
4,2022-07-07,10:28:14,WAHER,"$2,199.00",FBA,In Stock.,12,4.4,95,501→508→509→512→515→513→285→326→95→
5,2022-07-07,15:19:45,MWE Tech,"$3,899.00",FBA,3,33,4.3,95,867→868→868→869→870→871→878→888→888→95→
6,2022-07-07,14:19:50,MWE Tech,"$2,380.00",FBA,In Stock.,33,4.3,102,165→62→80→80→102→
7,2022-07-07,15:19:27,OLYLO Direct,"$2,499.00",FBA,1,14,4.1,106,266→266→106→106→
8,2022-07-07,15:24:29,WAHER,"$2,380.00",FBA,2,12,4.4,113,196→317→113→113→
9,2022-07-07,15:25:56,MWE Tech,"$2,499.00",FBA,9,33,4.3,139,294→106→139→
10,2022-07-07,10:28:32,MWE Tech,"$2,199.00",FBA,In Stock.,33,4.3,168,153→168→
11,2022-07-07,10:28:50,YC technology,"$3,299.00",FBA,11,13,4.0,207,466→477→479→483→485→486→501→186→207→
12,2022-07-07,08:46:53,MWE Tech,"$2,799.00",FBM,1,33,4.3,232,53→232→
13,2022-07-07,14:13:33,Looline,"$2,380.00",FBA,7,7,3.4,247,228→247→
14,2022-07-07,10:22:22,YC technology,"$2,799.00",FBA,19,13,4.0,247,600→27→46→64→82→108→179→247→247→
15,2022-07-07,10:17:43,TYTY USA,"$2,099.00",FBA,7,11,3.5,271,221→222→226→229→238→248→269→269→269→271→
16,2022-07-07,10:26:11,WAHER,"$2,499.00",FBA,6,12,4.4,281,777→281→
17,2022-07-07,15:22:42,YC technology,"$2,380.00",FBA,5,13,4.0,288,289→298→84→101→113→137→205→268→288→
18,2022-07-07,10:25:00,HERBSASY,"$2,799.00",FBA,0,3,5.0,327,314→327→
19,2022-07-07,10:24:25,MWE Tech,"$2,199.00",FBA,4,33,4.3,339,217→339→
20,2022-07-07,14:17:10,MWE Tech,"$1,899.00",FBA,3,33,4.3,359,179→342→359→
21,2022-07-07,15:22:24,MWE Tech,"$3,299.00",FBA,17,33,4.3,399,399→399→
22,2022-07-07,10:19:11,TYTY USA,"$1,395.00",FBA,11,11,3.5,415,367→415→415→
23,2022-07-07,10:16:36,Looline,"$2,799.00",FBA,4,7,3.4,490,490→
24,2022-07-07,14:16:21,MWE Tech,"$2,999.00",FBA,10,33,4.3,491,411→426→427→432→433→436→451→475→481→481→491→
25,2022-07-07,08:44:30,Looline,"$2,199.00",FBA,0,7,3.4,524,502→524→
26,2022-07-07,10:24:08,Looline,"$2,199.00",FBA,10,7,3.4,524,502→505→504→509→508→508→513→522→522→524→
27,2022-07-07,10:22:57,WAHER,"$2,799.00",FBA,In Stock.,12,4.4,607,861→953→607→
28,2022-07-07,10:21:48,WAHER,"$3,299.00",FBA,19,12,4.4,607,1131→1223→1243→1271→1360→521→953→607→
29,2022-07-07,10:25:18,OLYLO Direct,"$2,199.00",FBA,2,13,4.4,623,620→620→623→
30,2022-07-07,15:26:13,OLYLO Direct,"$2,199.00",FBA,2,14,4.1,629,215→620→623→629→629→
